Species,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/16/20,3/19/20,3/21/20,3/24/20,3/27/20,3/29/20,4/1/20,4/4/20,4/6/20,4/8/20,4/10/20,4/13/20,4/16/20,4/20/20,4/23/20,4/26/20,4/29/20,5/2/20,5/4/20,5/6/20,5/9/20,5/13/20,5/16/20,5/19/20,5/23/20,5/26/20,5/28/20
Cercis_canadensis,0,,,0,0,,0,0,5,10,25,90,100,100,,,,,,,,,,,,,,,,,,,,
Cornus_florida,,,,,,,,,,0,,0,0,2,15,20,80,95,95,100,100,,,,,,,,,,,,,
Cornus_mas,0,40,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus_armeniaca,0,0,0,10,15,,15,15,15,30,40,95,100,100,,,,,,,,,,,,,,,,,,,,
Prunus_nigra,,,,,,,,,,0,0,5,20,35,60,80,90,100,100,,,,,,,,,,,,,,,
Acer_rubrum,0,,,0,0,,0,0,2,20,5,85,95,100,100,,,,,,,,,,,,,,,,,,,
Acer_saccharum,,,,,,,,,,0,,0,,,0,0,0,0,1,2,10,35,80,90,100,100,,,,,,,,
Fagus_grandifolia,,,,,,,,,,0,,0,,,0,0,0,1,1,2,5,10,40,70,90,100,100,,,,,,,
Forsythia,0,0,5,70,95,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metasequoia,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,30,90,95,100,,,,,,,,,,,
Larix_kaempferi,0,,,0,,,0,0,0,20,35,75,95,100,100,100,,,,,,,,,,,,,,,,,,
Abies_balsamea,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,40,60,95,100,100,,,,
Picea_abies,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,15,65,100,100,
Kalmia,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,90
Rhododendron,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,75,90,100